steps,L_inf_cipher_plain_LW,L_inf_cipher_plain_FD
1.0,2.8310687127941492e-14,1.9317880628477724e-14
2.0,2.3425705819590803e-14,1.509903313490213e-14
3.0,2.1871393585115584e-14,1.6209256159527285e-14
4.0,2.042810365310288e-14,1.2656542480726785e-14
5.0,2.0539125955565396e-14,1.3766765505351941e-14
6.0,1.8485213360008856e-14,1.1102230246251565e-14
7.0,1.9206858326015208e-14,9.769962616701378e-15
8.0,2.2315482794965646e-14,1.0547118733938987e-14
9.0,1.5765166949677223e-14,1.1435297153639112e-14
10.0,1.709743457922741e-14,9.992007221626409e-15
11.0,2.1815882433884326e-14,1.0103029524088925e-14
12.0,1.8207657603852567e-14,1.0436096431476471e-14
13.0,1.942890293094024e-14,1.2101430968414206e-14
14.0,1.509903313490213e-14,9.769962616701378e-15
15.0,1.6403545188836688e-14,7.66053886991358e-15
16.0,1.7208456881689926e-14,7.716050021144838e-15
17.0,1.8096635301390052e-14,8.104628079763643e-15
18.0,1.63202784619898e-14,9.270362255620057e-15
19.0,2.0539125955565396e-14,8.215650382226158e-15
20.0,1.8207657603852567e-14,9.2148511043888e-15
21.0,1.7430501486614958e-14,7.882583474838611e-15
22.0,1.5987211554602254e-14,8.326672684688674e-15
23.0,1.6653345369377348e-14,8.326672684688674e-15
24.0,1.5765166949677223e-14,6.2727600891321345e-15
25.0,1.63202784619898e-14,8.881784197001252e-15
26.0,1.709743457922741e-14,1.021405182655144e-14
27.0,2.275957200481571e-14,7.993605777301127e-15
28.0,1.5432100042289676e-14,6.772360450213455e-15
29.0,1.8318679906315083e-14,7.771561172376096e-15
30.0,1.983135877736686e-14,7.216449660063518e-15
31.0,1.6681100944992977e-14,6.8833827526759706e-15
32.0,1.7319479184152442e-14,9.43689570931383e-15
33.0,1.709743457922741e-14,7.771561172376096e-15
34.0,1.765254609153999e-14,7.549516567451064e-15
35.0,1.8984813721090177e-14,6.106226635438361e-15
36.0,1.7430501486614958e-14,8.43769498715119e-15
37.0,1.4099832412739488e-14,7.771561172376096e-15
38.0,1.4654943925052066e-14,6.439293542825908e-15
39.0,1.7541523789077473e-14,8.43769498715119e-15
40.0,1.2656542480726785e-14,6.661338147750939e-15
41.0,1.942890293094024e-14,6.328271240363392e-15
42.0,1.4669705790115728e-6,1.0652388547915947e-6
43.0,1.3858908358699296e-6,1.1924864602441687e-6
44.0,1.44416006286896e-6,8.486974896193544e-7
45.0,1.1323227275261694e-6,8.779514760748341e-7
46.0,1.0184087129161412e-6,7.084426445480574e-7
47.0,8.564481397410617e-7,7.468979429381406e-7
48.0,6.906931029337926e-7,5.559333441373937e-7
49.0,8.679197694982932e-7,7.776584068919234e-7
50.0,7.967197622749111e-7,7.443724405753471e-7
51.0,1.1486375151026351e-6,6.962438348079303e-7
52.0,9.906363631628778e-7,8.53353967489312e-7
53.0,8.05259749436793e-7,7.46973680687546e-7
54.0,9.816876250789974e-7,5.600863259291877e-7
55.0,9.391639756994863e-7,5.577966384340272e-7
56.0,9.70857330806485e-7,6.414829020195967e-7
57.0,8.387792421737927e-7,5.374864149310099e-7
58.0,1.041382784228162e-6,6.869560104094674e-7
59.0,8.602858653228296e-7,6.699466730264447e-7
60.0,9.206763605384971e-7,8.427014717149461e-7
61.0,7.264815696794713e-7,4.947838299074192e-7
62.0,8.371833715159482e-7,5.238679504637744e-7
63.0,6.707575639364194e-7,5.295138810756939e-7
64.0,8.375977489372133e-7,5.385737187335593e-7
65.0,1.8133670314779415e-6,9.732951183893945e-7
66.0,1.3980743173158672e-6,1.066029103879984e-6
67.0,1.507121715205173e-6,9.918665089259093e-7
68.0,1.3608608508963727e-6,9.83563815393218e-7
69.0,1.370096475272753e-6,8.88328129278193e-7
70.0,1.1783605593507218e-6,1.1274451078291392e-6
71.0,1.309075167710283e-6,9.839901777830562e-7
72.0,1.3202960280622733e-6,8.055114991689649e-7
73.0,1.8888997918020678e-6,1.1381526213716242e-6
74.0,1.3710971207281375e-6,8.049196064119357e-7
75.0,1.3763865971405664e-6,8.59849843548588e-7
76.0,1.284581968130638e-6,8.644665204782243e-7
77.0,1.230713816857687e-6,1.0970257540154904e-6
78.0,1.4333759684737046e-6,8.91188982388158e-7
79.0,1.4090187698823087e-6,9.378126006875931e-7
80.0,1.6122911655758188e-6,9.54737709668585e-7
81.0,1.4009302877759922e-6,6.93519167205281e-7
82.0,1.901859132513728e-6,8.123286814321062e-7
83.0,1.4643979919792827e-6,7.984346397371667e-7
84.0,1.3951362782815835e-6,8.154557359363324e-7
85.0,1.478355073802895e-6,1.0411937941823268e-6
86.0,1.506679458418425e-6,8.110845943765099e-7
87.0,1.55900577647472e-6,8.34933665205817e-7
88.0,2.6895722702313662e-6,1.1245731977860274e-6
89.0,1.6631559225377401e-6,1.527365834919081e-6
90.0,1.998516241386028e-6,1.563274670712822e-6
91.0,2.117637339593692e-6,1.0456669171654553e-6
92.0,1.86338083008053e-6,1.1745206037749867e-6
93.0,1.6169272650801148e-6,1.3223572558063168e-6
94.0,2.137637915122781e-6,1.13827330594507e-6
95.0,2.264007643471011e-6,1.2258598643954954e-6
96.0,1.9984811997497687e-6,8.200685811532438e-7
97.0,1.8651685629311743e-6,9.67098005122402e-7
98.0,2.0208114974717972e-6,9.839395422872599e-7
99.0,1.3960483504771304e-6,9.115296877859613e-7
100.0,1.705343352087496e-6,9.848669688672373e-7
101.0,1.7579648687870986e-6,9.451168261342957e-7
102.0,1.5150846123246353e-6,1.107427122781779e-6
103.0,1.9950123387735275e-6,9.235470692647851e-7
104.0,2.1941781572776264e-6,8.976710473840299e-7
105.0,1.7634573371561046e-6,8.981947187125527e-7
106.0,2.094096785754118e-6,9.496300386047096e-7
107.0,1.5816793349499036e-6,8.781518532341437e-7
108.0,1.6916264559130312e-6,7.534338595238665e-7
109.0,2.03911001162016e-6,9.185621071550187e-7
110.0,1.6566815175256266e-6,1.073641917592738e-6
111.0,2.5741986475757983e-6,1.379007938173693e-6
112.0,2.134322440783265e-6,2.0115625581906826e-6
113.0,2.139869325512578e-6,1.5899720359202618e-6
114.0,2.356963424543501e-6,1.4455073467090074e-6
115.0,1.8887591624050515e-6,1.3913868224246784e-6
116.0,2.1938601745263853e-6,1.5017894773317053e-6
117.0,2.3773305614094298e-6,1.4477293229786525e-6
118.0,2.2731302049550095e-6,1.3807087247963423e-6
119.0,1.893371850192338e-6,1.321149113775455e-6
120.0,2.1259258224937128e-6,1.3988460669800418e-6
121.0,2.0601379804308095e-6,1.2353058992387034e-6
122.0,2.9361808265848666e-6,1.2923351769833502e-6
123.0,1.8252403817253793e-6,1.2609382976647154e-6
124.0,1.8683580655931564e-6,1.227291355099247e-6
125.0,2.634730788875217e-6,1.2561175241065925e-6
126.0,2.5872737550169944e-6,1.1101022123760629e-6
127.0,2.2030666325667525e-6,1.144684093179471e-6
128.0,2.697583977195883e-6,1.2998391211160865e-6
